Part,Value,Device,Description
ANT1,JTI+AF8-ANTENNA+AC0-1575AT43A40,JTI+AF8-ANTENNA+AC0-1575AT43A40,
ANT2,13MM+AF8-CERAMIC+AF8-PATCH,Antenna,Mounts on PCB rear
BAT/CAP,MS621FE,PCBBATTERY,
C1,4u7,SMT 0805,
C2,4u7,SMT 0805,
C3,4u7,SMT 0805,
C4,100nF,SMT 0805,
CONA,7X1,+ACI-7X1, 0.1+IB0-+ACI-,
D1,B0520,DIODE+AC0-SOD323+AC0-R,
L1,33nH,R+AC0-EU+AF8-R0603,
L70/76,L70GPS,L70GPS,
LED,RED,0805LED,
Q1,IRLML6402,IRLFL6402,
Q2,2N7002,NMOSFET,
R1,47K,SMT 0805,
R2,2K2,SMT 0805,
R3,SOT,SMT 0805,
R4,1K,SMT 0805,
R5,220K,SMT 0805,
